Class ID,Class Name,Average Score,Completion Rate,Knowledge Gaps,Assignment Timeliness,Instructor,Enrollment,Semester,Department
CLS001,Fundamentals of Cooking,82,85,Knife Skills,90,Chef Martinez,24,Fall 2024,Culinary Arts
CLS002,Advanced Culinary Techniques,88,78,Sauce Making,85,Chef Johnson,18,Fall 2024,Culinary Arts
CLS003,Baking & Pastry Arts,91,92,Bread Making,95,Chef Williams,22,Fall 2024,Baking & Pastry
CLS004,International Cuisine,85,80,Spice Usage,88,Chef Chen,20,Fall 2024,Culinary Arts
CLS005,Food Safety & Sanitation,94,96,Temperature Control,98,Chef Davis,28,Fall 2024,Food Safety
CLS006,Menu Planning & Costing,79,75,Cost Analysis,82,Chef Brown,16,Fall 2024,Business
CLS007,Restaurant Operations,83,82,Service Flow,87,Chef Wilson,19,Fall 2024,Business
CLS008,Nutrition & Dietary Planning,87,89,Macro Calculations,91,Chef Anderson,21,Fall 2024,Nutrition
CLS009,Culinary Arts Capstone,90,88,Presentation Skills,93,Chef Taylor,15,Fall 2024,Culinary Arts
CLS010,Professional Kitchen Management,86,84,Team Leadership,89,Chef Garcia,17,Fall 2024,Management
