User ID,User Name,Forum Posts,Recipe Shares,Comments Made,Likes Received,Peer Feedback Given,Community Score
USR001,Alex Johnson,12,3,45,67,23,8.2
USR002,Maria Garcia,28,8,89,156,45,9.1
USR003,David Chen,5,1,23,34,12,6.8
USR004,Sarah Williams,34,12,102,198,67,9.5
USR005,Michael Brown,8,2,34,45,18,7.3
USR006,Emma Davis,22,6,78,134,38,8.7
USR007,James Wilson,15,4,56,89,28,8.0
USR008,Lisa Anderson,41,15,125,234,78,9.8
USR009,Robert Taylor,3,0,18,23,8,6.2
USR010,Jennifer Martinez,19,5,67,112,32,8.4
USR011,Christopher Lee,11,3,42,58,21,7.6
USR012,Amanda Thompson,25,7,83,145,41,8.9
USR013,Daniel Garcia,7,1,29,38,15,7.1
USR014,Jessica Rodriguez,31,9,95,178,52,9.2
USR015,Matthew Wilson,13,3,48,72,25,7.8
