Session ID,Session Title,Date,Attendance Rate,Participation Level,Q&A Engagement,Feedback Score,Duration (min)
SES001,Knife Skills Masterclass,2024-09-20,92%,High,85%,4.6,90
SES002,Sauce Making Workshop,2024-09-21,88%,Medium,78%,4.4,75
SES003,Bread Baking Basics,2024-09-22,95%,High,92%,4.8,120
SES004,Plating & Presentation,2024-09-23,85%,Medium,82%,4.3,60
SES005,Food Safety Training,2024-09-24,98%,High,95%,4.9,45
SES006,International Spices,2024-09-25,87%,Medium,80%,4.5,90
SES007,Pastry Fundamentals,2024-09-26,91%,High,88%,4.7,105
SES008,Menu Development,2024-09-27,83%,Low,75%,4.2,75
SES009,Kitchen Management,2024-09-28,89%,Medium,85%,4.6,90
SES010,Culinary Trends 2024,2024-09-29,94%,High,90%,4.8,60
